epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
58,1645.9810,0.2041,0.1084,0.1284,6.4124,0.0159,0.0149,0.6466,99.7209,0.2685,396
59,1621.3961,0.2133,0.1067,0.1255,6.6540,0.0109,0.0128,0.6628,99.7247,0.2659,397
60,1605.9412,0.2119,0.1057,0.1234,6.7260,0.0132,0.0116,0.6606,99.7248,0.2644,395
61,1567.1606,0.2211,0.1030,0.1190,7.1068,0.0117,0.0139,0.6755,99.7301,0.2606,392
62,1529.3304,0.2224,0.1005,0.1134,7.7023,0.0027,0.0026,0.6752,99.7315,0.2569,395
63,1505.2406,0.2246,0.0989,0.1104,7.7503,0.0083,0.0076,0.6791,99.7330,0.2543,394
64,1491.9259,0.2270,0.0979,0.1083,7.9718,0.0075,0.0074,0.6815,99.7343,0.2531,395
65,1497.7429,0.2282,0.0983,0.1102,7.9959,0.0065,0.0074,0.6814,99.7346,0.2534,398
66,1493.2231,0.2269,0.0980,0.1086,8.4438,0.0047,0.0043,0.6786,99.7348,0.2530,391
67,1478.5161,0.2269,0.0971,0.1074,8.3955,0.0066,0.0079,0.6749,99.7343,0.2514,390
68,1474.7852,0.2263,0.0968,0.1070,8.8415,0.0025,0.0024,0.6756,99.7352,0.2512,394
69,1478.5855,0.2260,0.0971,0.1076,8.6176,0.0060,0.0040,0.6760,99.7342,0.2514,399
70,1468.0593,0.2269,0.0964,0.1060,8.3501,0.0080,0.0102,0.6750,99.7355,0.2504,390
71,1464.8590,0.2239,0.0962,0.1058,9.1215,0.0029,0.0019,0.6715,99.7346,0.2502,396
72,1468.7935,0.2258,0.0964,0.1065,8.5483,0.0048,0.0059,0.6730,99.7353,0.2503,397
73,1454.9983,0.2231,0.0955,0.1054,9.3729,0.0011,0.0009,0.6670,99.7339,0.2489,399
74,1450.9547,0.2234,0.0952,0.1047,9.4515,0.0059,0.0038,0.6652,99.7343,0.2485,394
75,1444.7428,0.2242,0.0948,0.1037,9.6267,0.0012,0.0014,0.6708,99.7344,0.2481,397
76,1402.1024,0.2222,0.0920,0.0985,10.1768,0.0003,0.0003,0.6667,99.7339,0.2440,391
77,1382.3979,0.2226,0.0907,0.0958,10.0522,0.0062,0.0046,0.6699,99.7343,0.2421,401
78,1360.7481,0.2195,0.0893,0.0933,9.1813,0.0008,0.0011,0.6595,99.7328,0.2397,393
79,1365.0880,0.2159,0.0896,0.0944,9.4974,0.0025,0.0029,0.6543,99.7317,0.2403,396
80,1350.5713,0.2176,0.0886,0.0923,10.4499,0.0004,0.0003,0.6580,99.7331,0.2389,397
81,1309.6707,0.2216,0.0858,0.0861,10.9208,0.0001,0.0001,0.6682,99.7346,0.2351,393
82,1280.5113,0.2196,0.0839,0.0835,10.0094,0.0041,0.0050,0.6585,99.7342,0.2321,392
83,1280.2082,0.2163,0.0839,0.0831,9.8288,0.0004,0.0006,0.6576,99.7327,0.2319,391
84,1261.0578,0.2238,0.0826,0.0816,10.3101,0.0002,0.0003,0.6755,99.7352,0.2297,389
85,1226.2385,0.2304,0.0802,0.0765,10.8688,0.0012,0.0009,0.6906,99.7375,0.2262,392
86,1218.5568,0.2317,0.0797,0.0762,9.9208,0.0069,0.0047,0.6913,99.7381,0.2253,401
87,1197.0404,0.2318,0.0783,0.0723,9.6595,0.0004,0.0007,0.6887,99.7380,0.2230,392
88,1198.6187,0.2300,0.0784,0.0732,10.6088,0.0002,0.0003,0.6861,99.7374,0.2231,395
89,1188.9369,0.2298,0.0777,0.0724,11.0477,0.0003,0.0003,0.6879,99.7380,0.2221,393
90,1183.4181,0.2288,0.0774,0.0723,11.7710,0.0002,0.0001,0.6824,99.7375,0.2214,393
91,1175.0411,0.2290,0.0768,0.0714,10.7759,0.0019,0.0014,0.6852,99.7376,0.2203,395
92,1169.2548,0.2281,0.0764,0.0707,10.3697,0.0036,0.0033,0.6859,99.7376,0.2199,396
93,1163.5098,0.2288,0.0760,0.0702,10.5860,0.0003,0.0003,0.6842,99.7377,0.2190,398
94,1158.0470,0.2293,0.0757,0.0696,10.9416,0.0018,0.0010,0.6827,99.7381,0.2183,392
95,1164.4662,0.2327,0.0761,0.0702,10.8928,0.0002,0.0004,0.6839,99.7387,0.2193,395
96,1148.2644,0.2287,0.0750,0.0685,11.3634,0.0001,0.0001,0.6834,99.7382,0.2176,400
97,1127.9732,0.2318,0.0737,0.0667,11.6630,0.0007,0.0005,0.6831,99.7389,0.2153,397
98,1088.3024,0.2297,0.0710,0.0623,11.1721,0.0016,0.0021,0.6755,99.7387,0.2107,396
99,1066.4984,0.2350,0.0695,0.0599,10.5103,0.0026,0.0017,0.6821,99.7410,0.2078,393
100,1045.3390,0.2343,0.0681,0.0579,9.9678,0.0046,0.0040,0.6848,99.7409,0.2053,397
101,0.1547,0.2321,0.0752,0.0698,10.5993,0.0004,0.0007,0.6719,99.7400,0.2164,638
102,0.1490,0.2210,0.0750,0.0691,10.3153,0.0065,0.0034,0.6578,99.7365,0.2164,395
103,0.1423,0.2073,0.0752,0.0693,10.2268,0.0004,0.0006,0.6368,99.7322,0.2167,402
104,0.1352,0.1937,0.0747,0.0688,10.5867,0.0012,0.0014,0.6184,99.7269,0.2156,405
105,0.1287,0.1792,0.0760,0.0704,10.5068,0.0003,0.0003,0.5931,99.7210,0.2180,396
106,0.1206,0.1624,0.0767,0.0721,10.9949,0.0006,0.0008,0.5638,99.7142,0.2187,390
107,0.1147,0.1494,0.0778,0.0746,11.0565,0.0023,0.0020,0.5378,99.7072,0.2200,396
108,0.1089,0.1370,0.0787,0.0758,10.3728,0.0032,0.0025,0.5125,99.7002,0.2214,398
109,0.1032,0.1243,0.0800,0.0786,10.6864,0.0017,0.0031,0.4865,99.6925,0.2232,394
110,0.0987,0.1140,0.0812,0.0804,11.0881,0.0022,0.0049,0.4665,99.6857,0.2251,395
111,0.0935,0.1031,0.0818,0.0814,10.5123,0.0090,0.0055,0.4439,99.6773,0.2260,402
112,0.0891,0.0929,0.0832,0.0845,9.9262,0.0112,0.0076,0.4213,99.6682,0.2280,396
113,0.0845,0.0824,0.0846,0.0867,10.1365,0.0062,0.0069,0.3975,99.6581,0.2300,393
114,0.0809,0.0742,0.0856,0.0883,9.6243,0.0080,0.0063,0.3765,99.6493,0.2318,395
115,0.0782,0.0663,0.0881,0.0931,9.6617,0.0073,0.0073,0.3583,99.6398,0.2355,396
116,0.0764,0.0616,0.0894,0.0954,8.9607,0.0246,0.0210,0.3450,99.6330,0.2371,397
117,0.0734,0.0549,0.0903,0.0967,8.5753,0.0138,0.0130,0.3242,99.6235,0.2386,394
118,0.0721,0.0509,0.0916,0.0993,8.2878,0.0366,0.0226,0.3086,99.6166,0.2408,397
119,0.0705,0.0468,0.0925,0.1001,8.3710,0.0288,0.0183,0.2958,99.6092,0.2424,396
120,0.0687,0.0425,0.0933,0.1024,8.3661,0.0173,0.0179,0.2807,99.6006,0.2434,401
121,0.0671,0.0395,0.0931,0.1018,7.9588,0.0389,0.0323,0.2696,99.5938,0.2434,397
122,0.0666,0.0382,0.0934,0.1029,7.6366,0.0467,0.0377,0.2638,99.5903,0.2439,392
123,0.0647,0.0344,0.0934,0.1030,7.9487,0.0302,0.0238,0.2504,99.5819,0.2441,395
124,0.0648,0.0344,0.0934,0.1025,8.3203,0.0311,0.0320,0.2511,99.5800,0.2442,392
125,0.0627,0.0311,0.0928,0.1022,7.7925,0.0194,0.0200,0.2395,99.5720,0.2433,396
126,0.0617,0.0297,0.0923,0.1006,7.7669,0.0331,0.0424,0.2338,99.5675,0.2426,396
127,0.0610,0.0283,0.0922,0.1005,7.4686,0.0594,0.0331,0.2316,99.5631,0.2425,403
128,0.0603,0.0278,0.0913,0.0979,7.1633,0.0372,0.0312,0.2307,99.5601,0.2410,398
129,0.0601,0.0271,0.0915,0.0988,7.7014,0.0283,0.0298,0.2296,99.5581,0.2415,393
130,0.0591,0.0260,0.0906,0.0968,7.5960,0.0416,0.0474,0.2252,99.5538,0.2401,401
131,0.0578,0.0242,0.0900,0.0957,7.3129,0.0412,0.0367,0.2183,99.5486,0.2391,395
132,0.0568,0.0232,0.0890,0.0950,7.3710,0.0388,0.0371,0.2128,99.5447,0.2372,393
133,0.0556,0.0221,0.0877,0.0917,7.0340,0.0550,0.0442,0.2091,99.5408,0.2354,390
134,0.0543,0.0206,0.0865,0.0892,7.7237,0.0205,0.0204,0.2015,99.5346,0.2338,397
135,0.0538,0.0203,0.0859,0.0894,7.1984,0.0458,0.0324,0.1999,99.5330,0.2325,399
136,0.0529,0.0187,0.0855,0.0884,7.5705,0.0329,0.0355,0.1887,99.5255,0.2319,391
137,0.0522,0.0178,0.0852,0.0877,6.9390,0.0494,0.0539,0.1850,99.5217,0.2313,401
138,0.0514,0.0173,0.0841,0.0861,7.2877,0.0276,0.0258,0.1835,99.5190,0.2295,396
139,0.0512,0.0165,0.0844,0.0866,7.7577,0.0226,0.0212,0.1780,99.5152,0.2297,395
140,0.0505,0.0157,0.0838,0.0856,7.4801,0.0333,0.0447,0.1754,99.5119,0.2288,389
141,0.0500,0.0153,0.0834,0.0850,7.2540,0.0538,0.0558,0.1720,99.5096,0.2280,393
142,0.0495,0.0150,0.0826,0.0839,7.0694,0.0716,0.0573,0.1717,99.5078,0.2266,399
143,0.0490,0.0145,0.0819,0.0831,7.3563,0.0297,0.0386,0.1676,99.5049,0.2255,399
144,0.0487,0.0143,0.0817,0.0822,7.3543,0.0352,0.0344,0.1675,99.5034,0.2252,395
145,0.0486,0.0140,0.0816,0.0822,7.5509,0.0389,0.0270,0.1640,99.5015,0.2252,402
146,0.0481,0.0135,0.0812,0.0819,7.2055,0.0432,0.0551,0.1626,99.4981,0.2241,398
147,0.0481,0.0135,0.0811,0.0814,7.7548,0.0304,0.0307,0.1638,99.4984,0.2241,392
148,0.0479,0.0136,0.0808,0.0806,6.8608,0.0554,0.0485,0.1635,99.4988,0.2237,397
149,0.0473,0.0130,0.0803,0.0804,6.9333,0.0424,0.0561,0.1587,99.4947,0.2227,392
150,0.0477,0.0131,0.0808,0.0813,7.2536,0.0330,0.0405,0.1604,99.4952,0.2232,396
151,0.0473,0.0126,0.0805,0.0806,7.4027,0.0413,0.0575,0.1567,99.4922,0.2230,395
152,0.0470,0.0126,0.0801,0.0804,6.9648,0.0412,0.0371,0.1572,99.4916,0.2221,400
153,0.0466,0.0123,0.0796,0.0791,7.0638,0.0538,0.0622,0.1559,99.4898,0.2215,392
154,0.0467,0.0122,0.0796,0.0796,7.5443,0.0278,0.0258,0.1556,99.4891,0.2213,399
155,0.0462,0.0120,0.0789,0.0786,7.5369,0.0260,0.0248,0.1534,99.4874,0.2200,392
156,0.0463,0.0118,0.0792,0.0784,7.6651,0.0379,0.0438,0.1521,99.4864,0.2206,394
157,0.0463,0.0119,0.0793,0.0787,7.5703,0.0398,0.0447,0.1514,99.4869,0.2206,398
158,0.0461,0.0115,0.0793,0.0786,7.5105,0.0493,0.0484,0.1505,99.4840,0.2208,400
159,0.0457,0.0112,0.0788,0.0781,7.1423,0.0536,0.0500,0.1466,99.4819,0.2199,390
160,0.0458,0.0115,0.0786,0.0771,7.1300,0.0370,0.0508,0.1491,99.4837,0.2194,394
161,0.0451,0.0109,0.0779,0.0764,7.1364,0.0470,0.0449,0.1453,99.4799,0.2185,393
162,0.0453,0.0111,0.0781,0.0765,7.2828,0.0598,0.0602,0.1479,99.4808,0.2188,394
163,0.0451,0.0109,0.0780,0.0762,6.9096,0.0605,0.0642,0.1445,99.4794,0.2187,401
164,0.0447,0.0111,0.0770,0.0749,7.1784,0.0377,0.0336,0.1467,99.4807,0.2168,396
165,0.0444,0.0108,0.0765,0.0744,7.1424,0.0532,0.0594,0.1453,99.4786,0.2164,391
166,0.0439,0.0107,0.0755,0.0721,7.1464,0.0412,0.0458,0.1439,99.4786,0.2149,390
167,0.0427,0.0109,0.0730,0.0679,7.4632,0.0345,0.0320,0.1452,99.4799,0.2104,387
168,0.0423,0.0109,0.0723,0.0665,7.6444,0.0349,0.0300,0.1457,99.4789,0.2089,389
169,0.0420,0.0109,0.0716,0.0657,7.2236,0.0513,0.0580,0.1447,99.4798,0.2077,394
170,0.0418,0.0107,0.0713,0.0654,7.5302,0.0362,0.0366,0.1428,99.4774,0.2074,398
171,0.0419,0.0108,0.0715,0.0657,7.2137,0.0380,0.0421,0.1446,99.4787,0.2075,393
172,0.0417,0.0107,0.0712,0.0652,7.7000,0.0384,0.0362,0.1435,99.4779,0.2068,395
173,0.0417,0.0104,0.0714,0.0662,7.5780,0.0469,0.0525,0.1407,99.4758,0.2068,398
174,0.0411,0.0103,0.0704,0.0635,7.4587,0.0338,0.0389,0.1420,99.4751,0.2055,390
175,0.0411,0.0108,0.0700,0.0635,7.2338,0.0345,0.0427,0.1441,99.4783,0.2046,399
176,0.0411,0.0105,0.0702,0.0638,7.2281,0.0329,0.0347,0.1413,99.4758,0.2051,397
177,0.0407,0.0104,0.0695,0.0624,7.5441,0.0494,0.0546,0.1413,99.4753,0.2040,393
178,0.0408,0.0104,0.0697,0.0622,7.5641,0.0275,0.0324,0.1417,99.4748,0.2044,387
179,0.0409,0.0104,0.0699,0.0634,8.0635,0.0366,0.0339,0.1420,99.4753,0.2043,394
180,0.0405,0.0101,0.0693,0.0626,7.4263,0.0559,0.0669,0.1387,99.4729,0.2034,397
181,0.0406,0.0102,0.0696,0.0630,7.5329,0.0391,0.0413,0.1388,99.4733,0.2038,388
182,0.0403,0.0101,0.0692,0.0620,7.3002,0.0485,0.0633,0.1385,99.4723,0.2033,392
183,0.0402,0.0100,0.0689,0.0616,7.5836,0.0293,0.0432,0.1369,99.4717,0.2027,394
184,0.0402,0.0099,0.0689,0.0619,7.9491,0.0388,0.0308,0.1376,99.4707,0.2029,393
