epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
58,1809.7979,0.3962,0.1180,0.1479,6.3343,0.0102,0.0100,0.9671,99.7766,0.2820,235
59,1794.9706,0.3989,0.1170,0.1464,6.7587,0.0083,0.0093,0.9729,99.7780,0.2803,233
60,1791.6020,0.3973,0.1168,0.1457,6.8114,0.0090,0.0078,0.9686,99.7783,0.2801,235
61,1751.7699,0.3949,0.1142,0.1407,7.0261,0.0108,0.0097,0.9693,99.7767,0.2765,234
62,1708.5877,0.3981,0.1113,0.1356,7.6079,0.0020,0.0024,0.9667,99.7771,0.2723,235
63,1678.2949,0.3984,0.1092,0.1314,6.8474,0.0199,0.0164,0.9700,99.7770,0.2693,235
64,1678.0104,0.4079,0.1091,0.1311,7.4857,0.0020,0.0024,0.9780,99.7788,0.2690,235
65,1672.9887,0.4055,0.1088,0.1308,7.5812,0.0048,0.0040,0.9751,99.7793,0.2684,236
66,1660.2639,0.4080,0.1080,0.1285,8.2653,0.0013,0.0016,0.9747,99.7795,0.2671,234
67,1644.9465,0.4018,0.1070,0.1277,8.7367,0.0009,0.0009,0.9744,99.7781,0.2655,236
68,1651.0536,0.4003,0.1074,0.1272,7.7896,0.0092,0.0086,0.9737,99.7777,0.2662,237
69,1643.2310,0.3904,0.1069,0.1272,7.7356,0.0090,0.0076,0.9667,99.7758,0.2654,238
70,1646.3324,0.3942,0.1071,0.1272,8.2483,0.0074,0.0077,0.9645,99.7767,0.2658,238
71,1615.8254,0.4097,0.1050,0.1223,8.5477,0.0010,0.0012,0.9727,99.7794,0.2629,236
72,1577.8974,0.4273,0.1023,0.1178,8.9809,0.0009,0.0008,0.9799,99.7826,0.2590,236
73,1553.9470,0.4227,0.1008,0.1152,8.3382,0.0066,0.0072,0.9823,99.7820,0.2564,237
74,1553.1657,0.4284,0.1007,0.1150,8.6552,0.0034,0.0028,0.9821,99.7835,0.2561,237
75,1535.4662,0.4232,0.0995,0.1127,8.7543,0.0059,0.0126,0.9802,99.7824,0.2546,237
76,1532.3795,0.4184,0.0994,0.1131,8.5115,0.0016,0.0018,0.9763,99.7814,0.2541,237
77,1537.7452,0.4292,0.0997,0.1128,9.1852,0.0008,0.0007,0.9868,99.7836,0.2547,237
78,1483.3814,0.4445,0.0959,0.1055,9.1801,0.0038,0.0048,0.9910,99.7865,0.2495,235
79,1463.2925,0.4527,0.0945,0.1037,9.4822,0.0006,0.0006,0.9978,99.7884,0.2474,235
80,1447.5659,0.4584,0.0934,0.1012,10.0176,0.0002,0.0002,1.0043,99.7885,0.2455,235
81,1440.7714,0.4524,0.0930,0.1008,9.4498,0.0025,0.0032,1.0068,99.7884,0.2450,234
82,1436.3437,0.4465,0.0928,0.1002,9.0085,0.0043,0.0043,0.9987,99.7881,0.2444,236
83,1435.6885,0.4544,0.0927,0.0996,9.8067,0.0008,0.0009,1.0024,99.7894,0.2443,235
84,1424.4742,0.4471,0.0920,0.0989,9.9699,0.0010,0.0009,1.0032,99.7881,0.2431,235
85,1426.4964,0.4440,0.0921,0.0989,10.3097,0.0002,0.0003,1.0023,99.7874,0.2436,234
86,1420.2298,0.4468,0.0917,0.0983,10.0361,0.0018,0.0021,1.0059,99.7886,0.2426,234
87,1419.2822,0.4535,0.0916,0.0981,9.9740,0.0011,0.0010,1.0033,99.7888,0.2428,235
88,1414.3998,0.4545,0.0913,0.0977,10.6901,0.0003,0.0003,1.0129,99.7897,0.2420,234
89,1422.0216,0.4508,0.0918,0.0986,10.3953,0.0025,0.0022,1.0087,99.7891,0.2431,234
90,1396.8376,0.4640,0.0900,0.0947,10.7202,0.0003,0.0005,1.0087,99.7903,0.2405,235
91,1353.7685,0.4676,0.0871,0.0895,9.9472,0.0025,0.0024,1.0038,99.7896,0.2363,235
92,1344.2051,0.4763,0.0864,0.0884,10.4123,0.0003,0.0004,1.0083,99.7907,0.2352,234
93,1336.9811,0.4739,0.0860,0.0878,10.1345,0.0070,0.0074,1.0051,99.7912,0.2343,236
94,1332.6686,0.4708,0.0857,0.0868,9.6526,0.0019,0.0016,1.0075,99.7908,0.2339,233
95,1328.7919,0.4715,0.0854,0.0869,10.4591,0.0010,0.0009,1.0029,99.7907,0.2334,231
96,1325.1476,0.4742,0.0852,0.0864,10.9805,0.0001,0.0002,1.0048,99.7912,0.2330,232
97,1329.2869,0.4674,0.0855,0.0871,10.8415,0.0011,0.0010,1.0024,99.7905,0.2333,234
98,1328.4439,0.4739,0.0854,0.0865,11.1332,0.0004,0.0004,1.0055,99.7917,0.2331,234
99,1317.8155,0.4720,0.0847,0.0854,10.0515,0.0065,0.0036,1.0054,99.7912,0.2324,234
100,1315.0475,0.4699,0.0845,0.0857,10.2769,0.0032,0.0036,1.0031,99.7901,0.2316,234
101,0.2841,0.4696,0.0965,0.1038,10.5334,0.0001,0.0002,1.0097,99.7928,0.2484,297
102,0.2730,0.4475,0.0964,0.1042,10.6821,0.0006,0.0006,1.0023,99.7888,0.2483,233
103,0.2606,0.4242,0.0947,0.1014,11.1884,0.0003,0.0004,0.9841,99.7845,0.2460,233
104,0.2440,0.3911,0.0945,0.1016,11.3391,0.0001,0.0001,0.9621,99.7776,0.2456,234
105,0.2249,0.3523,0.0952,0.1027,11.5307,0.0001,0.0001,0.9283,99.7689,0.2468,234
106,0.2031,0.3069,0.0971,0.1058,10.7519,0.0029,0.0026,0.8808,99.7575,0.2494,232
107,0.1807,0.2595,0.0997,0.1116,10.6872,0.0031,0.0031,0.8140,99.7437,0.2528,234
108,0.1582,0.2090,0.1054,0.1210,10.4811,0.0045,0.0057,0.7317,99.7256,0.2608,234
109,0.1402,0.1669,0.1116,0.1333,9.9032,0.0099,0.0102,0.6430,99.7067,0.2694,236
110,0.1224,0.1265,0.1166,0.1427,8.8879,0.0165,0.0172,0.5502,99.6835,0.2766,234
111,0.1094,0.0955,0.1216,0.1516,8.8755,0.0159,0.0153,0.4771,99.6605,0.2839,234
112,0.1007,0.0726,0.1271,0.1618,9.2430,0.0070,0.0079,0.4119,99.6370,0.2922,234
113,0.0943,0.0581,0.1286,0.1649,8.8845,0.0187,0.0158,0.3628,99.6182,0.2958,235
